84, 5628, 829, 1531, 279, 25, 161, 775, 617, 37, 953, 45, 40, 57, 0, 81, 129, 126, 72, 1506, 6365, 202, 794, 730, 605, 34, 1050, 46, 56, 57, 54, 9, 287, 26, 116, 75, 1773, 261, 446, 81, 10, 45, 213, 257, 13, 325, 15, 20, 19, 0, 25, 47, 52, 23, 446, 1800, 62, 260, 244, 188, 5, 240, 14, 24, 17, 14, 3, 94, 8, 28, 20, 2125, 290, 539, 97, 7, 50, 253, 248, 13, 439, 18, 10, 14, 0, 30, 41, 23, 20, 481, 2002, 56, 265, 242, 206, 12, 305, 18, 21, 20, 21, 2, 100, 7, 44, 23, 4365, 1592, 124, 374, 3, 1227.0, 636.0, 39.0, 142.0, 0.0, 2477.0, 455.0, 60.0, 74.0, 0.0, 1
85, 5630, 787, 1530, 314, 27, 147, 739, 510, 31, 1028, 48, 49, 41, 2, 87, 122, 93, 45, 1481, 6326, 164, 783, 720, 630, 23, 1091, 44, 57, 70, 47, 4, 327, 23, 119, 71, 1794, 227, 426, 74, 6, 44, 207, 155, 3, 380, 25, 16, 13, 0, 35, 51, 28, 13, 494, 2049, 64, 299, 277, 195, 12, 338, 13, 25, 34, 18, 2, 100, 9, 35, 21, 1055, 176, 305, 43, 6, 57, 173, 102, 18, 260, 10, 5, 5, 0, 15, 21, 10, 4, 502, 1967, 54, 248, 224, 151, 8, 243, 18, 16, 15, 19, 2, 84, 13, 45, 25, 4333, 1646, 106, 392, 0, 1595.0, 703.0, 48.0, 172.0, 0.0, 470.0, 350.0, 18.0, 59.0, 0.0, 1
70, 5494, 711, 1404, 248, 22, 158, 673, 511, 24, 1022, 43, 41, 42, 1, 61, 135, 71, 45, 1472, 6258, 177, 826, 762, 624, 17, 877, 36, 65, 65, 56, 5, 285, 25, 132, 62, 1754, 205, 427, 82, 10, 39, 198, 147, 1, 344, 12, 16, 16, 0, 24, 46, 33, 18, 604, 2574, 62, 329, 298, 261, 6, 380, 13, 24, 30, 28, 1, 122, 5, 54, 25, 1430, 227, 362, 88, 10, 37, 192, 155, 3, 296, 9, 31, 10, 1, 16, 20, 22, 11, 686, 2592, 80, 364, 322, 249, 14, 325, 32, 20, 17, 19, 3, 144, 9, 54, 35, 4294, 1723, 106, 424, 0, 1338.0, 817.0, 45.0, 172.0, 0.0, 1516.0, 410.0, 51.0, 88.0, 0.0, 1
65, 5491, 665, 1353, 235, 46, 159, 621, 489, 32, 1239, 64, 45, 27, 0, 64, 125, 73, 38, 1463, 6151, 188, 812, 737, 489, 32, 908, 80, 40, 52, 41, 14, 260, 34, 105, 71, 1768, 191, 407, 70, 13, 44, 204, 123, 9, 383, 19, 14, 13, 0, 21, 37, 32, 14, 644, 2669, 90, 415, 384, 269, 19, 374, 37, 14, 29, 23, 5, 106, 14, 49, 34, 2496, 331, 656, 134, 23, 59, 263, 189, 10, 363, 18, 18, 26, 0, 33, 36, 97, 28, 556, 2473, 57, 282, 258, 221, 15, 514, 22, 16, 16, 34, 4, 125, 13, 40, 28, 4298, 1719, 100, 345, 0, 1968.0, 320.0, 47.0, 51.0, 0.0, 2691.0, 176.0, 54.0, 32.0, 0.0, 1
100, 5658, 908, 1566, 289, 46, 216, 865, 588, 52, 1045, 48, 61, 60, 0, 65, 94, 137, 39, 1387, 6233, 176, 676, 615, 543, 48, 1198, 46, 30, 39, 49, 10, 255, 34, 102, 71, 251, 29, 54, 10, 0, 6, 28, 29, 4, 49, 4, 12, 2, 0, 1, 2, 4, 1, 391, 1693, 57, 209, 186, 163, 19, 265, 15, 13, 16, 10, 0, 71, 9, 33, 26, 408, 68, 108, 17, 2, 9, 43, 22, 1, 83, 1, 12, 3, 0, 4, 6, 4, 0, 374, 1561, 55, 202, 186, 114, 4, 262, 14, 10, 7, 14, 1, 71, 10, 35, 19, 4402, 1590, 104, 356, 0, 131.0, 178.0, 9.0, 32.0, 0.0, 629.0, 66.0, 14.0, 4.0, 0.0, 1
85, 5617, 782, 1476, 220, 32, 207, 734, 512, 75, 913, 40, 72, 45, 0, 86, 106, 59, 47, 1430, 6210, 129, 683, 601, 485, 64, 884, 79, 44, 83, 29, 5, 211, 52, 105, 91, 995, 117, 212, 31, 6, 23, 100, 89, 11, 169, 2, 8, 6, 0, 13, 10, 3, 3, 344, 1434, 21, 169, 147, 134, 23, 185, 20, 15, 18, 8, 0, 45, 17, 20, 24, 1203, 128, 275, 42, 10, 35, 141, 126, 17, 223, 6, 18, 13, 0, 29, 18, 7, 1, 245, 960, 26, 122, 109, 54, 10, 144, 5, 6, 8, 12, 1, 49, 8, 20, 20, 5450, 1769, 176, 388, 0, 652.0, 511.0, 41.0, 102.0, 0.0, 952.0, 417.0, 31.0, 60.0, 0.0, 1
77, 5450, 631, 1307, 191, 29, 158, 596, 512, 73, 947, 33, 57, 36, 0, 87, 128, 55, 45, 1377, 6090, 118, 640, 561, 449, 85, 862, 79, 41, 59, 40, 5, 226, 43, 119, 84, 2031, 211, 442, 62, 12, 50, 204, 242, 28, 423, 14, 22, 11, 0, 25, 46, 23, 18, 424, 1927, 39, 206, 190, 167, 30, 300, 26, 8, 22, 12, 2, 69, 13, 27, 30, 1646, 169, 389, 57, 10, 23, 148, 117, 9, 291, 3, 17, 13, 0, 17, 36, 28, 17, 294, 1287, 24, 122, 110, 77, 18, 195, 15, 8, 5, 6, 2, 42, 6, 22, 15, 5320, 1839, 165, 414, 0, 1733.0, 589.0, 72.0, 99.0, 0.0, 387.0, 537.0, 44.0, 82.0, 0.0, 1
81, 5552, 514, 1399, 179, 31, 80, 480, 414, 85, 782, 36, 86, 30, 1, 79, 145, 83, 44, 1326, 6021, 87, 549, 478, 362, 69, 871, 87, 41, 54, 33, 5, 226, 44, 116, 81, 1516, 137, 351, 34, 8, 20, 121, 124, 21, 253, 11, 8, 8, 0, 17, 39, 8, 7, 145, 670, 8, 75, 62, 73, 9, 98, 16, 5, 9, 1, 0, 22, 6, 15, 10, 1452, 144, 352, 48, 8, 21, 159, 118, 25, 207, 19, 11, 16, 0, 19, 42, 15, 11, 175, 856, 18, 70, 64, 65, 6, 138, 11, 3, 5, 6, 0, 16, 3, 9, 14, 5453, 1836, 147, 380, 0, 1791.0, 565.0, 37.0, 155.0, 0.0, 2266.0, 147.0, 53.0, 118.0, 0.0, 1
93, 5460, 691, 1411, 195, 22, 141, 640, 485, 67, 665, 32, 87, 34, 2, 100, 130, 59, 48, 1334, 6042, 144, 631, 567, 438, 49, 893, 90, 31, 40, 27, 4, 178, 47, 92, 70, 630, 64, 172, 15, 1, 8, 57, 41, 6, 56, 4, 12, 6, 0, 7, 9, 4, 7, 298, 1336, 30, 141, 131, 121, 14, 181, 27, 13, 14, 4, 2, 40, 9, 26, 11, 339, 30, 75, 9, 7, 4, 36, 22, 1, 95, 1, 6, 3, 0, 5, 1, 8, 3, 467, 1920, 59, 233, 196, 159, 24, 250, 15, 8, 20, 10, 1, 67, 11, 49, 39, 5270, 1654, 135, 309, 8, 614.0, 71.0, 14.0, 10.0, 0.0, 341.0, 79.0, 26.0, 2.0, 0.0, 1
76, 5546, 736, 1495, 215, 24, 160, 692, 522, 72, 736, 38, 54, 42, 0, 75, 140, 58, 34, 1451, 6179, 185, 772, 688, 478, 42, 960, 66, 37, 44, 30, 7, 235, 53, 102, 92, 1338, 173, 382, 51, 5, 45, 197, 158, 21, 195, 10, 1, 9, 0, 14, 37, 4, 7, 181, 674, 30, 113, 102, 52, 4, 94, 6, 5, 9, 5, 1, 34, 8, 11, 8, 443, 47, 91, 13, 2, 0, 33, 55, 2, 48, 4, 6, 4, 0, 9, 6, 1, 3, 114, 481, 14, 69, 61, 39, 5, 53, 5, 5, 4, 4, 3, 13, 9, 8, 12, 5156, 1701, 162, 326, 0, 1346.0, 113.0, 31.0, 8.0, 0.0, 83.0, 113.0, 9.0, 23.0, 0.0, 1
